p,q,AIC,BIC,LogLik
1,1,2745.1622650689274,2764.809254269934,-1368.5811325344637
2,1,2747.1171844323308,2771.675920933589,-1368.5585922161654
1,2,2747.1622653223353,2771.7210018235937,-1368.5811326611677
2,2,2748.649739534364,2778.120223335874,-1368.324869767182
1,3,2749.0786156686554,2778.5490994701654,-1368.5393078343277
3,1,2749.1171843983857,2778.5876681998957,-1368.5585921991928
2,3,2750.4754603808256,2784.857691482587,-1368.2377301904128
3,2,2750.6487043980724,2785.030935499834,-1368.3243521990362
1,4,2750.832758859951,2785.2149899617125,-1368.4163794299754
4,1,2751.1171846984425,2785.499415800204,-1368.5585923492213
3,3,2751.800697400273,2791.094675802286,-1367.9003487001364
2,4,2752.3512045117523,2791.6451829137654,-1368.1756022558761
4,2,2752.6487039567132,2791.9426823587264,-1368.3243519783566
3,4,2753.6872663237104,2797.8929920259757,-1367.8436331618552
4,3,2753.8006979982615,2798.0064237005267,-1367.9003489991308
4,4,2755.6872667981106,2804.8047398006274,-1367.8436333990553
