,Buy & Hold,Static Momentum,Adaptive Momentum
Total Return,0.6826902110893018,0.4421512448415945,0.32511565652359886
Annual Return,0.13953100398683183,0.09635416623688942,0.07328684528678697
Annual Vol,0.16476706941174624,0.1062594250481936,0.09617406217933942
Sharpe Ratio,0.8468379299637204,0.906782303717419,0.7620229781926671
Sortino Ratio,1.1888262573413824,1.009898443585825,0.7946673133202566
Max Drawdown,-0.24496397913199175,-0.13265170426793577,-0.1151671648890763
Calmar Ratio,0.569598046542384,0.7263696065469993,0.6363519094819559
Win Rate,0.5408366533864541,0.32801595214356927,0.3040877367896311
VaR 95%,-0.01665233673893744,-0.011688094665216742,-0.011054668593250494
CVaR 95%,-0.023963619791257895,-0.01674710474159155,-0.01586071598847392
